title,production_companies,revenue
World on a Wire,"['westdeutscher rundfunk (wdr)', 'the criterion collection']",0.0
The Bottom of the Sea,,0.0
Cazuza: Time Doesn't Stop,"['lereby productions', 'globo filmes', 'cineluz - produã§ãµes cinematogrã¡ficas lda.']",0.0
Future by Design,,0.0
Caramel,"['bac films', 'les films des tournelles', 'les films de beyrouth', 'roissy films', 'sunnyland', 'arte france cinã©ma', 'centre national de la cinã©matographie (cnc)', 'fonds sud cinã©ma', 'ministã¨re de la culture et de la communication', 'ministã¨re des affaires ã©trangã¨res et du dã©veloppement international', 'cinã©fondation', 'ministã¨re libanais de la culture']",0.0
Poor Boy's Game,,0.0
Operation Homecoming: Writing the Wartime Experience,,0.0
Rise of the Footsoldier,"['carnaby international', 'hanover films']",0.0
Joe Strummer: The Future Is Unwritten,"['filmfour', 'parallel film productions', 'sony bmg feature films', 'nitrate films']",0.0
Canvas,"['canvas pictures', 'lmg pictures', 'rebellion pictures']",0.0
The Count of Monte Cristo,['edward small productions'],0.0
Wedding Daze,"['greenestreet films', 'fugitive films', 'media 8 entertainment', 'the pleasure company inc.']",0.0
The Prisoner of Shark Island,"['twentieth century fox film corporation', 'darryl f. zanuck productions']",0.0
Dark Angel,"['epic productions', 'vision international', 'vision pdg', 'trans world entertainment (twe)']",9229401.0
Teeth,['teeth'],0.0
Crime Zone,['pacific trust'],0.0
Visiting Hours,"['canadian film development corporation (cfdc)', 'filmplan', 'victor solnicki productions']",0.0
"Big Bang Love, Juvenile A","['maki production', 'eisei gekijo', 'excellent film']",0.0
Noriko's Dinner Table,,0.0
Welcome Home Roscoe Jenkins,"['universal pictures', 'spyglass entertainment']",43650785.0
Fool's Gold,"['de line pictures', 'warner bros.']",111231041.0
The Great Lie,['warner bros.'],0.0
Blue State,"['mgm television', 'coproducciã³n canadã¡-usa']",0.0
U2 3D,"['national geographic entertainment', '3ality digital entertainment']",22730842.0
Deep Water,,0.0
The Art of Negative Thinking,['maipo film- og tv produksjon'],0.0
In Which We Serve,['two cities films'],0.0
The Motel,,0.0
Hunger,"['sandrews', 'svenska filminstitutet (sfi)', 'studio abc']",0.0
The Shout,"['the rank organisation', 'recorded picture company (rpc)', 'jeremy thomas productions']",0.0
Jumper,"['dune entertainment', 'hypnotic', 'new regency pictures']",222231186.0
It's a Free World...,"['bim distribuzione', 'filmstiftung nordrhein-westfalen', 'pathã© distribution', 'polish film institute', 'tornasol films', 'film4', 'spi international', 'sixteen films', 'emc produktion', 'filmcoopi zã¼rich']",0.0
Already Dead,"['havenwood media', 'turkey ranch productions']",0.0
"Definitely, Maybe","['universal pictures', 'studiocanal', 'working title films', 'ringerike erste filmproduktion']",55447968.0
I Live in Fear,['toho company'],0.0
Four Sons,['fox film corporation'],0.0
The Air I Breathe,['nala films'],0.0
Hangman's House,['fox film corporation'],0.0
Street Thief,,0.0
The 10th District Court: Moments of Trial,"['canal+', 'cnc', 'france2 cinã©ma']",0.0
Vantage Point,"['columbia pictures', 'original film', 'kanzaman', 'relativity media', 'art in motion']",151161491.0
The Spiderwick Chronicles,"['paramount pictures', 'the kennedy/marshall company']",162839667.0
Step Up 2: The Streets,"['summit entertainment', 'offspring entertainment', 'touchstone pictures']",150816700.0
Jodhaa Akbar,"['utv motion pictures', 'ashutosh gowariker productions pvt. ltd.']",13000000.0
Born Reckless,['fox film corporation'],0.0
Il Mare,"['sidus pictures', 'unikorea pictures', 'blue cinema', 'dream venture capital']",0.0
Up the River,['fox film corporation'],0.0
Great World of Sound,"['plum pictures', 'gws media']",0.0
Witless Protection,['parallel films'],0.0
The Other Boleyn Girl,"['columbia pictures', 'scott rudin productions', 'bbc films', 'ruby films', 'relativity media', 'focus features']",0.0
Semi-Pro,"['new line cinema', ""donners' company"", 'mosaic media group', 'road rebel']",33472850.0
"Run, Fatboy, Run","['entertainment films', 'material entertainment', 'beech hill films']",33000000.0
Crying Out Love in the Center of the World,"['toho company', 'tokyo broadcasting system (tbs)', 'mainichi broadcasting system (mbs)', 'shogakukan', 'hakuhodo', 'stardust pictures (sdp)']",0.0
Seas Beneath,['fox film corporation'],0.0
Please Vote for Me,,0.0
Taxi to the Dark Side,['jigsaw productions'],274661.0
Out of the Blue,,0.0
The Method,"['alquimia cinema', 'tornasol films']",0.0
Which Way Is Up?,,0.0
Grace is Gone,['benedek films'],0.0
The Marksman,"['castel film romania', 'andrew stevens entertainment']",0.0
Gran Paradiso,,0.0
Keeper of the Flame,"[""loew's"", 'metro-goldwyn-mayer (mgm)']",0.0
The Emperor Waltz,['paramount pictures'],0.0
Descent,,0.0
College Road Trip,['walt disney pictures'],68397662.0
"10,000 BC","['centropolis entertainment', 'legendary pictures', 'warner bros.', 'moonlighting films', 'the department of trade and industry of south africa']",266000000.0
The Bank Job,"['atlas entertainment', 'mosaic media group', 'omnilab media', 'relativity media', 'skyline (baker st)']",64822796.0
Doomsday,"['rogue pictures', 'intrepid pictures', 'scion films', 'moonlighting films', 'internationale filmproduktion blackbird dritte', 'crystal sky pictures']",22211426.0
Horton Hears a Who!,"['twentieth century fox film corporation', 'blue sky studios', 'twentieth century fox animation']",297138014.0
Funny Games,"['celluloid dreams', 'tartan films', 'film4', 'warner independent pictures (wip)']",7938872.0
The Counterfeiters,"['studio babelsberg', 'babelsberg film gmbh', 'magnolia filmproduktion', 'filmfã¶rderung hamburg', 'zweites deutsches fernsehen (zdf)', 'josef aichholzer filmproduktion', 'beta cinema']",0.0
Mongol: The Rise of Genghis Khan,"['kinokompaniya ctb', 'x-filme creative pool', 'andreevsky flag film company', 'kinofabrika', 'eurasia film production']",26527510.0
War Dance,,0.0
The Love Guru,"['paramount pictures', 'goldcrest pictures', 'internationale filmproduktion']",41819064.0
VeggieTales: The Pirates Who Don't Do Anything,"['starz animation', 'big idea productions', 'arc productions']",0.0
Diary of the Dead,['artfire films'],5364858.0
Hallam Foe,,60641.0
Penelope,"['tatira-hiller productions', 'summit entertainment', 'grosvenor park media ltd.', 'type a films']",0.0
City of Men,"['o2 filmes', 'fox filmes do brasil', 'globo filmes', 'petrobrã¡s']",307076.0
Chicago 10,['consolidated documentaries'],0.0
"Romulus, My Father",,0.0
The Woman in White,['warner bros.'],0.0
Zeitgeist,['gentle machine productions llc'],0.0
Terkel in Trouble,"['nordisk film', 'tv2', 'ntc']",0.0
Jellyfish,['les films du poisson'],0.0
Justice League: The New Frontier,"['warner bros. entertainment', 'warner bros. animation', 'dc entertainment']",5231128.0
The District,['lichthof productions ltd.'],0.0
The Hottest State,"['elixir films', 'entertainment farm (ef)', 'barracuda films']",0.0
Then She Found Me,['killer films'],0.0
The Naked Island,['kindai eiga kyokai'],0.0
Sigur RÃ³s: Heima,,0.0
What Just Happened,"['2929 productions', 'linson entertainment', 'art linson productions', 'tribeca productions']",6673422.0
A Little Trip to Heaven,"['palomar pictures', 'blueeyes productions', 'pink productions']",0.0
Downhill Racer,['paramount pictures'],0.0
Saving Sarah Cain,,0.0
Return of the Living Dead 3,['ozla productions'],54207.0
Miss Pettigrew Lives for a Day,"['kudos productions ltd.', 'focus features', 'shine pictures', 'twins financing', 'keylight productions']",16051363.0
Snow Angels,['crossroads films'],414404.0
Married Life,"['sidney kimmel entertainment', 'firm films', 'anonymous content']",0.0
Believers,['raw feed'],0.0
Sun Valley Serenade,['twentieth century fox film corporation'],0.0
Mala Noche,,0.0
On the Outs,"['youth house productions', 'fader films']",0.0
Stupid Boy,,0.0
The Class,"['amrion', 'eesti televisioon']",0.0
The Dark Knight,"['dc comics', 'legendary pictures', 'warner bros.', 'dc entertainment', 'syncopy']",1004558444.0
Doctor Bull,['fox film corporation'],0.0
Made in U.S.A,"['rome paris films', 'anouchka films', 's.e.p.i.c.']",0.0
Restless Natives,,0.0
Quiet City,,15425.0
Phar Lap,['john sexton productions'],0.0
51 Birch Street,['copacetic pictures'],0.0
Black Dawn,"['andrew stevens entertainment', 'steamroller productions', 'sony pictures home entertainment']",0.0
The Hammer,"['bentley filmgroup', 'eden wurmfeld films', 'hammer the movie']",0.0
Never Back Down,"['summit entertainment', 'mandalay pictures', 'baumgarten management and productions (bmp)']",41627431.0
Terror's Advocate,['magnolia pictures'],0.0
9 Star Hotel,,0.0
Napoleon,"['pathã© consortium cinã©ma', 'sociã©tã© gã©nã©rale des films', 'films abel gance', 'isepa-wengeroff film gmbh', 'cinã© france', 'sociã©tã© westi']",0.0
CJ7,['columbia pictures film production asia'],47301471.0
Drillbit Taylor,"['paramount pictures', 'apatow productions']",0.0
Dead Awake,"['nu image films', 'locomotion films']",0.0
Under the Same Moon,"['the weinstein company', 'fidecine', 'creando films', 'potomac pictures']",23311391.0
Tropical Malady,"['backup films', 'anna sanders films', 'downtown pictures']",0.0
Slipstream,"['destination films', 'strand releasing', 'samson films', 'slipstream']",27769.0
Terror of Mechagodzilla,"['toho company', 'henry g. saperstein enterprises inc.']",0.0
The Smiling Lieutenant,['paramount pictures'],0.0
Alatriste,"['twentieth century fox film corporation', 'estudios picasso', 'nbc universal global networks', 'origen producciones cinematograficas s.a.']",23321954.0
Joysticks,['jensen farley pictures'],3952448.0
Spirit Trap,,0.0
The Promised Land,"['film polski film agency', 'zespã³l filmowy ""x""']",0.0
Youth Without Youth,['american zoetrope'],0.0
Khadak,"['ma.ja.de fiction', 'cinepartners belgium ii', 'bo films']",0.0
21,"['columbia pictures', 'relativity media']",69823199.0
Smart People,"['miramax films', 'sherazade film development', 'groundswell productions', 'qed international', 'corduroy films', 'visitor pictures', ""chesterfield writer's film project"", 'gem global entertainment magyar']",10569964.0
Pierrepoint: The Last Hangman,"['uk film council', 'granada', 'national lottery through uk film council']",0.0
The Hawk Is Dying,['antidote films (i)'],0.0
Le Bal,,0.0
The Gymnast,,0.0
The Shepherd: Border Patrol,['sony pictures home entertainment'],0.0
Leatherheads,"['universal pictures', 'casey silver productions', 'outlaw productions (i)', 'smokehouse pictures']",41299492.0
Assembly,['huayi brothers media corporation'],34786960.0
Why Not?,"['shã´chiku eiga', 'imamura productions']",0.0
Pirates,"['carthago films s.a.r.l.', 'cominco', 'accent films']",1641825.0
Zebraman,,0.0
Marketa LazarovÃ¡,['filmovã© studio barrandov'],0.0
Stop-Loss,"['paramount pictures', 'scott rudin productions', 'mtv films', 'peirce pictures']",11207130.0
Shine a Light,"['concert promotion international', 'shangri-la entertainment']",0.0
Dark Matter,['saltmill'],0.0
The Business of Being Born,,0.0
Black Peter,['filmovã© studio barrandov'],0.0
The Aerial,['ladoblea'],0.0
Chan Is Missing,,0.0
Close to Home,['transfax film productions'],0.0
White Palms,"['katapult film', 'filmpartners']",0.0
Saawariya,"['sony pictures classics', 'slb films pvt. ltd.', 'slb films']",0.0
Julia,"['le bureau', 'jaibol films']",1300000.0
I Always Wanted to Be a Gangster,['virtual films'],0.0
Just Anybody,"['liaison cinã©matographique', 'artã©mis productions']",0.0
The Pope's Toilet,"['o2 filmes', 'chaya films', 'laroux-cinã©']",0.0
Inside,"['la fabrique de films', 'canal+', 'cinã©cinã©ma', 'br films']",0.0
Nim's Island,['walden media'],100076342.0
The Ruins,"['spyglass entertainment', 'pacific film and television commission', 'dreamworks pictures', 'red hour films', 'internationale filmproduktion prometheus']",0.0
Joy Division,,0.0
Manda Bala (Send a Bullet),,0.0
Forgetting Sarah Marshall,"['universal pictures', 'apatow productions']",105173115.0
Sex and Death 101,"['avenue pictures productions', 'sandbar pictures']",0.0
Superhero Movie,['dimension films'],25871834.0
Street Kings,"['fox searchlight pictures', 'regency enterprises', 'dune entertainment iii', 'emmett/furla films']",65569869.0
The Visitor,['overture films'],9234510.0
Harold & Kumar Escape from Guantanamo Bay,['new line cinema'],43493123.0
99 francs,['pathã© distribution'],0.0
Private Property,"['mact productions', 'canal+', 'cinã©cinã©ma', 'radio tã©lã©vision belge francophone (rtbf)', 'tarantula', 'wallimage', 'sofica sogã©cinã©ma 2', 'rã©gion wallonne']",0.0
Speed Racer,"['village roadshow pictures', 'studio babelsberg', 'anarchos productions', 'silver pictures', 'warner bros.', 'velocity productions']",93945766.0
Gabriel,"['hilt productions', 'redline films']",0.0
Diminished Capacity,,0.0
Nathalie...,"['france 2 cinã©ma', 'dd productions', 'vã©rtigo films']",0.0
Chapter 27,"['peace arch entertainment group', 'artina films']",0.0
The Thief Who Came to Dinner,"['warner bros.', 'bud yorkin productions']",0.0
The Forbidden Kingdom,"['casey silver productions', 'china film co-production corporation', 'huayi brothers', 'relativity media']",127906624.0
Where in the World Is Osama Bin Laden?,['non linear films'],0.0
The Life Before Her Eyes,['2929 productions'],0.0
"Puff, Puff, Pass",['sony pictures home entertainment'],0.0
Pulp,['three michaels film productions'],0.0
Virgin Territory,"['ingenious film partners', 'dino de laurentiis cinematografica', 'dino de laurentiis company', 'zephyr films', 'red lion sarl', 'carthago films s.a.r.l.']",5410749.0
Happy-Go-Lucky,['thin man films'],18130888.0
Religulous,['lions gate films'],0.0
Outpost,"['regent capital', 'black camel pictures']",0.0
Are You Scared?,['mainline releasing'],0.0
Before Flying Back to Earth,"['tag/traum filmproduktion', 'zdf productions', 'nomimun']",0.0
Bernard and Doris,"['burnside entertainment', 'chicagofilms', 'trigger street independent', 'little bird production']",0.0
Son of Rambow,"['celluloid dreams', 'hammer & tongs']",6870249.0
Super High Me,,0.0
Black Friday,['universal pictures'],0.0
The Invisible Ray,['universal pictures'],0.0
Murders in the Rue Morgue,['universal pictures'],0.0
The Killer Elite,"['united artists', 'persky-bright productions', 'baum/dantine productions', 'exeter associates', 'arthur lewis productions']",0.0
Tarzan Escapes,['metro-goldwyn-mayer (mgm)'],0.0
Tarzan Finds a Son!,['metro-goldwyn-mayer (mgm)'],0.0
Tarzan's Secret Treasure,,0.0
Tarzan's New York Adventure,['metro-goldwyn-mayer (mgm)'],0.0
Viva Zapata!,['twentieth century fox film corporation'],0.0
Antares,,0.0
Outsourced,['shadowcatcher entertainment'],0.0
Deception,"['kanzaman', 'rifkin-eberts', 'dune entertainment iii', 'seed productions', 'media rights capital (mrc)']",17741298.0
Baby Mama,"['relativity media', 'michaels-goldwyn']",63833449.0
The Unknown Woman,"['manigolda film', 'medusa film']",0.0
Delirious,"['peace arch entertainment group', 'artina films', 'thema production']",0.0
Klimt,"['vienna film financing fund', 'ã–sterreichischer rundfunk (orf)', 'ard/degeto film gmbh']",0.0
Expelled: No Intelligence Allowed,['premise media corporation'],7700000.0
Viva Cuba,['quad productions'],0.0
Prom Night,['alliance films'],14796236.0
The White Massai,"['constantin film produktion', 'bayerischer banken-fonds']",0.0
Iron Man,"['paramount pictures', 'marvel studios']",585174222.0
Possessed,,0.0
Made of Honor,"['columbia pictures', 'original film']",84601681.0
Redbelt,['sony pictures classics'],0.0
Mister Lonely,['agnã¨s b. productions'],0.0
Anamorph,['kamala films'],0.0
"The Bread, My Sweet",,1023156.0
Taken,"['twentieth century fox film corporation', 'm6 films', 'canal+', 'tps star', 'grive productions', 'europacorp', 'm6', 'wintergreen productions', 'all pictures media']",226830568.0
Hero Wanted,,0.0
Flight of the Red Balloon,"['les films du lendemain', 'margo films', 'canal+', 'cinã©cinã©ma', 'arte france cinã©ma', 'rã©gion ile-de-france', 'soficinã©ma 3', '3h productions', ""le musã©e d'orsay"", 'sofica poste image']",0.0
The Fall,"['roadside attractions', 'absolute entertainment', 'googly films', 'deep films', 'radical media', 'tree top films inc.']",3669465.0
Stargate: The Ark of Truth,"['metro-goldwyn-mayer (mgm)', 'kawoosh! productions dtv i']",8900000.0
Walk All Over Me,"['chaos, a film company']",0.0
Blind Dating,"['catfish productions', 'milcoz films', 'samuel goldwyn films', 'blind guy films', 'theta films']",834457.0
Meet Bill,"['greenestreet films', 'eclipse catering']",346592.0
An American Crime,"['killer films', 'showtime networks', 'first look international']",0.0
What Happens in Vegas,"['twentieth century fox film corporation', 'regency enterprises', 'mosaic media group', '21 laps entertainment', 'penn station entertainment', 'dune entertainment iii']",170000000.0
White Night,"['nimbus film productions', 'angel films productions']",0.0
American Pie Presents: Beta House,"['universal pictures', 'rogue pictures']",0.0
Numb,,0.0
Bella,"['mpower pictures', 'metanoia films', 'burnside entertainment', 'bella productions', 'one media, the']",0.0
Fiorile,,0.0
The Man Between,['london film productions'],0.0
The Stars Look Down,['grafton films'],0.0
The Unknown Soldier,"['eikon film', 'sentana']",0.0
a/k/a Tommy Chong,,0.0
The Chronicles of Narnia: Prince Caspian,"['walt disney', 'walden media', 'stillking films', 'ozumi films', 'propeler', 'silverbell films', 'revolution sun studios']",419651413.0
Reprise,['filmlance international ab'],0.0
The Window,['rko radio pictures'],0.0
The Ron Clark Story,"['alberta film entertainment', 'granada entertainment', 'magna global entertainment', 'johnson & johnson spotlight presentations', 'alberta film development program of the alberta foundation for the arts, the', 'old beantown films']",0.0
Shelter,['gp pictures'],0.0
American Crude,['sony pictures home entertainment'],0.0
Young @ Heart,,0.0
"War, Inc.",,1296184.0
The Year of the Wolf,,0.0
The Girl Next Door,"['moderncinã©', 'modern girl productions']",0.0
King Corn,,81368.0
Indiana Jones and the Kingdom of the Crystal Skull,"['lucasfilm', 'paramount pictures']",786636033.0
How to Rob a Bank,['williamsburg media cult'],0.0
Hey Hey It's Esther Blueburger,"['120db films', 'tama production']",0.0
The Quiet American,['figaro'],0.0
Blonde and Blonder,"['rigel entertainment', 'first look international', 'pneumatic pictures']",0.0
Wesley Willis: The Daddy of Rock 'n' Roll,,0.0
Patti Smith: Dream of Life,['clean socks'],0.0
Day of the Outlaw,['security pictures'],0.0
Nina's Heavenly Delights,"['kali films', 'priority pictures']",0.0
Following Sean,,0.0
One Hour with You,['paramount pictures'],0.0
Lake of Fire,,25.0
The Witnesses,['ugc distribution'],0.0
The Oxford Murders,"['la fabrique de films', 'telecinco cinema']",0.0
Shutter,"['regency enterprises', 'vertigo entertainment', 'ozla pictures', 'new regency pictures']",0.0
The Grand,"['eleven eleven films', 'insomnia media group', 'img film 7']",0.0
Sex and the City,"['new line cinema', 'darren star productions', 'home box office (hbo)']",415252786.0
The Strangers,"['rogue pictures', 'vertigo entertainment', 'intrepid pictures']",82391145.0
Savage Grace,"['celluloid dreams', 'killer films', 'john wells productions', 'montfort producciones']",0.0
Bigger Stronger Faster*,['bsf film'],307811.0
All the Boys Love Mandy Lane,['occupant films'],0.0
Memories of Matsuko,"['tokyo broadcasting system (tbs)', 'amuse soft entertainment']",0.0
Allan Quatermain and the Temple of Skulls,"['asylum, the']",0.0
Kung Fu Panda,['dreamworks animation'],631744560.0
What Would Jesus Buy?,"['palisades pictures', 'warrior poets']",0.0
Extreme Private Eros: Love Song 1974,['shisso production'],0.0
The Emperor's Naked Army Marches On,"['imamura productions', 'shisso production', 'zanzou-sha']",0.0
Antonio das Mortes,['mapa filmes'],0.0
Recount,['baltimore spring creek productions'],0.0
Ex Drummer,"['cccp', 'czar']",0.0
The Art of Crying,['final cut productions'],0.0
Where the Sidewalk Ends,['twentieth century fox film corporation'],0.0
100 Rifles,"['twentieth century fox film corporation', 'marvin schwartz productions']",0.0
Blood Alley,"['batjac productions', 'warner bros.']",0.0
Chato's Land,['scimitar films'],0.0
Cold Sweat,"['les films corona', 'fair film', 'belgique cinã©']",0.0
The FBI Story,['warner bros.'],0.0
"Farewell, Friend","['greenwich film productions', 'medusa distribuzione']",0.0
The Iron Mask,['elton productions'],0.0
St. Ives,['warner bros.'],0.0
Villa Rides,['paramount pictures'],0.0
The Wings of Eagles,['metro-goldwyn-mayer (mgm)'],0.0
Steamboat Round the Bend,['fox film corporation'],0.0
The World Moves On,['fox film corporation'],0.0
Pilgrimage,['fox film corporation'],0.0
Lonelyhearts,"['united artists', 'dore schary productions']",0.0
The Andromeda Strain,"['scott free productions', ""traveler's rest films"", 'a.s. films']",0.0
Boat People,,0.0
Wrong Move,"['solaris film', 'albatros produktion', 'westdeutscher rundfunk (wdr)', 'wim wenders stiftung']",0.0
Dust in the Wind,['central motion pictures'],0.0
You Don't Mess with the Zohan,"['columbia pictures', 'happy madison productions', 'sony pictures releasing', 'relativity media']",201596308.0
The Prefab People,"['mafilm', 'balã¡zs bã©la stãºdiã³', 'tã¡rsulã¡s stãºdiã³', 'magyar televã\xadziã³ fiatal mã¼vã©szek stãºdiã³ja (mtv-fms)']",0.0
The Promotion,['dimension films'],0.0
When Did You Last See Your Father?,"['intandem films', 'film4', 'number 9 films', 'tiger aspect pictures', 'father features', 'audley films', 'comptom investments']",92.0
My Brother Is an Only Child,"['cattleya', 'babe film', 'ministero per i beni e le attivitã\xa0 culturali', 'film commission torino-piemonte']",6463286.0
Stuck,['prodigy pictures'],0.0
July Rhapsody,,0.0
Flesh Gordon,['graffiti productions'],0.0
Telefon,['metro-goldwyn-mayer (mgm)'],0.0
The Lost World,['twentieth century fox film corporation'],0.0
The Mark of Zorro,['douglas fairbanks pictures'],0.0
The Protector,"['golden harvest company', 'golden way films ltd.']",0.0
The Three Musketeers,['douglas fairbanks pictures'],0.0
Warlock,['twentieth century fox film corporation'],0.0
The Fiances,"['titanus', '22 dicembre', 'sicilia cinematografica']",0.0
Il Posto,"['titanus', '24 horses']",0.0
Chaos Theory,['castle rock entertainment'],240476.0
The Boys & Girls Guide to Getting Down,,0.0
Boy A,['film 4'],1200398.0
Doctor Who,"['universal tv', '20th century fox television', 'bbc worldwide']",42000000.0
A Complete History of My Sexual Failures,"['em media', 'uk film council', 'screen yorkshire', 'film4', 'warp x', 'madman entertainment']",0.0
The Warlords,"['applause pictures', 'media asia films', 'beijing jinyinma movie & tv culture co.', 'stellar mega films', 'beijing poly-bona film publishing company', 'chengtian entertainment', 'morgan & chan films', 'talent aid international', 'china film group corporation (cfgc)']",0.0
Spiral,"['ariescope pictures', 'coattails entertainment']",0.0
Hounddog,"['motion picture group, the']",0.0
The Happening,"['spyglass entertainment', 'twentieth century fox film corporation', 'dune entertainment', 'utv motion pictures', 'blinding edge pictures']",163403799.0
The Incredible Hulk,"['universal pictures', 'marvel studios', 'valhalla motion pictures', 'mvl incredible productions']",163712074.0
Baghead,['duplass brothers productions'],0.0
The Children of Huang Shi,"['australian film finance corporation', 'zero fiction film', 'ming productions', 'bluewater pictures', 'cheerland entertainment organization']",7400000.0
Quill:  The Life of a Guide Dog,['shochiku'],0.0
WALLÂ·E,"['walt disney pictures', 'pixar animation studios', 'fortyfour studios']",521311860.0
Wanted,"['universal pictures', 'spyglass entertainment', 'bazelevs production', 'kickstart productions', 'marc platt productions', 'top cow productions', 'relativity media', 'ringerike zweite filmproduktion', 'revolution sun studios']",258270008.0
Hancock,"['columbia pictures', 'weed road pictures', 'forward pass', 'relativity media', 'overbrook entertainment', 'blue light', 'gh three']",624029371.0
Boy Culture,"['tla releasing', 'boy culture llc']",220151.0
Ten Minutes Older: The Trumpet,"['atom films', 'filmfã¶rderungsanstalt (ffa)', 'jvc entertainment networks']",0.0
Angel Face,['rko radio pictures'],0.0
Huckleberry Finn,,0.0
Tom Sawyer,['united artists'],0.0
Turn the River,"['bandora', 'mr. nice']",0.0
Get Smart,"['village roadshow pictures', 'atlas entertainment', 'mosaic media group', 'mad chance', 'warner bros.', 'wv films iv', ""mel's cite du cinema"", 'callahan filmworks']",230685453.0
Young People Fucking,['copperheart entertainment'],0.0
Brick Lane,"['ingenious film partners', 'ruby films', 'film4']",0.0
Surfwise,,0.0
The Rape of Europa,"['actual films', 'agon arts and entertainment', 'oregon public broadcasting']",0.0
St. Trinian's,"['ealing studios', 'fragile films', 'entertainment film distributors']",0.0
The Penalty,"['goldwyn pictures corporation', 'eminent authors pictures inc']",0.0
Crossed Tracks,"['samuel goldwyn', 'les films 13']",0.0
Desire,['paramount pictures'],0.0
Futurama: The Beast with a Billion Backs,"['20th century fox television', 'the curiosity company']",0.0
Equinox,['tonylyn productions inc.'],0.0
At the Death House Door,,0.0
Archangel,"['cinephile', 'ordnance pictures']",0.0
Battlefield Baseball,,0.0
The Hourglass Sanatorium,"['zespol filmowy ""silesia""']",0.0
The Color of Pomegranates,['armenfilm studios'],0.0
David Cross: Let America Laugh,,0.0
West of Zanzibar,['metro-goldwyn-mayer (mgm)'],921000.0
Tell It to the Marines,['metro-goldwyn-mayer (mgm)'],0.0
The Unholy Three,['metro-goldwyn-mayer (mgm)'],704000.0
The Unholy Three,,0.0
London After Midnight,['metro-goldwyn-mayer (mgm)'],0.0
Dog Day,,0.0
The Klansman,['atlanta productions'],0.0
Pocket Money,"['first artists', 'coleytown productions']",0.0
The Goddess,,0.0
Bambi II,['disneytoon studios'],0.0
Gunnin' for That #1 Spot,,0.0
Finding Amanda,"['capacity pictures', 'mj films']",0.0
Kit Kittredge: An American Girl,"['new line cinema', 'goldsmith-thomas productions', 'red om films', 'hbo films', 'picturehouse', 'front street films', 'american girl brands']",0.0
Gonzo: The Life and Work of Dr. Hunter S. Thompson,,0.0
The Wackness,"['sbk pictures', 'occupant entertainment']",2899975.0
Up the Yangtze,,783000.0
Get Well Soon,"['lions gate films', ""giv'en films""]",0.0
Strange Circus,"['tla releasing', 'sedic']",0.0
Along Came Jones,"['rko radio pictures', 'international pictures (i)', 'cinema artists']",0.0
The Black Swan,['twentieth century fox film corporation'],0.0
Cheyenne Autumn,"['warner bros.', 'ford-smith productions']",0.0
Hour of the Gun,"['the mirisch corporation', 'mirisch-kappa production']",0.0
Sleepwalking,"['infinity features entertainment', 'filmengine', 'denver and delilah productions', 'icon entertainment international']",204660.0
Encounters at the End of the World,['discovery films'],0.0
Mauvais Sang,"['soprofilms', 'unitã© trois', 'limbo film ag', 'centre national de la cinã©matographie (cnc)', 'les films plain chant', 'fr3 films production', 'georges reinhart productions', 'sofima', 'sogedis']",0.0
Dante 01,"['eskwad', 'studiocanal', 'wild bunch', 'canal+', 'cinã©cinã©ma', 'rã©gion ile-de-france', 'conseil rã©gional des pays de la loire']",0.0
Standard Operating Procedure,['sony pictures classics'],0.0
Wee Willie Winkie,['twentieth century fox film corporation'],0.0
A Page of Madness,"['shin kankaku-ha eiga renmei productions', 'kinugasa productions', 'national film art']",0.0
Two Women,,0.0
Zombie Strippers!,"['larande productions', 'scream hq']",0.0
Frosty the Snowman,['rankin/bass productions'],0.0
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,['hbo documentary'],0.0
Roman Polanski: Wanted and Desired,,0.0
Z Channel: A Magnificent Obsession,"['independent film channel (ifc)', 'maja films', 'fresh produce films']",0.0
Battle For Haditha,['hanway films'],0.0
Alexandra,"['proline film', 'centre national de la cinã©matographie (cnc)', 'rã©zo productions', 'russian federation of cinematography']",0.0
Transylvania,"['pyramide productions', 'canal+', 'tps star', 'centre national de la cinã©matographie (cnc)', 'soficinã©ma 2', 'princes films']",0.0
Mamma Mia!,"['universal pictures', 'internationale filmproduktion richter', 'playtone', 'relativity media', 'littlestar']",609841637.0
Ganes,['helsinki filmi oy'],0.0
Welcome to the Sticks,"['centre national de la cinã©matographie', 'tf1 films productions', 'pathã© renn productions', 'hirsch', 'canal+', 'cinã©cinã©ma', 'rã©gion nord-pas-de-calais', 'les productions du chicon', 'centre rã©gional des ressources audiovisuelles (crrav)']",53191886.0
The Pornographers,"['nikkatsu', 'imamura productions']",0.0
Kabluey,['whitewater films'],83398.0
The Stone Angel,"['tã©lã©film canada', 'sequence film', 'astral media', 'alliance', 'buffalo gal pictures', 'movie central network', 'handmade films']",473993.0
Honeydripper,"[""anarchist's convention films""]",0.0
Summer '04,,0.0
The Home of Dark Butterflies,['solar films inc.'],0.0
Dark Floors,"['yleisradio (yle)', 'solar films inc.', 'icelandic filmcompany', 'kisi production']",0.0
Silentium,['dor film produktionsgesellschaft gmbh'],0.0
Rogue,"['village roadshow pictures', 'emu creek pictures']",0.0
The Violin,['centro de capacitaciã³n cinematogrã¡fica (ccc)'],0.0
Sublime,['raw feed'],0.0
