belongs_to_collection,title,revenue
xxx collection,xXx,277448382.0
living trilogy,Songs from the Second Floor,0.0
blue crush collection,Blue Crush,51842679.0
undisputed collection,Undisputed,12398628.0
care bears collection,The Care Bears Movie,0.0
care bears collection,Care Bears Movie II: A New Generation,0.0
hot shots! collection,Hot Shots!,181096164.0
976-evil collection,976-EVIL,2955917.0
frankenstein (hammer series),The Revenge of Frankenstein,0.0
stakeout collection,Stakeout,0.0
barbershop collection,Barbershop,75781642.0
the transporter collection,The Transporter,43928932.0
ernest collection,Ernest Goes to Jail,0.0
ernest collection,Ernest Scared Stupid,0.0
the hills have eyes (original) collection,The Hills Have Eyes Part II,0.0
the hills have eyes (original) collection,The Hills Have Eyes,25000000.0
the hannibal lecter anthology,Red Dragon,209196298.0
"heaven, hell and purgatory collection",Heaven,0.0
godzilla (showa) collection,Mothra vs. Godzilla,0.0
godzilla (showa) collection,Godzilla's Revenge,0.0
godzilla (showa) collection,"Godzilla, King of the Monsters!",0.0
qatsi collection,Powaqqatsi,589244.0
the last picture show collection,Texasville,0.0
ernest collection,Ernest Goes to Africa,0.0
ernest collection,Ernest In The Army,0.0
dracula (hammer series),Horror of Dracula,0.0
django - original films,Django,17277.0
django - original films,Django Strikes Again,0.0
pokã©mon collection,PokÃ©mon 4Ever: Celebi - Voice of the Forest,28023563.0
the ring collection,The Ring,249348933.0
qatsi collection,Naqoyqatsi,13308.0
friday the 13th collection,Jason Goes to Hell: The Final Friday,15938065.0
saturday night fever collection,Saturday Night Fever,237113184.0
saturday night fever collection,Staying Alive,64892670.0
man of marble/iron collection,Man of Iron,0.0
enter the ninja collection,Enter the Ninja,0.0
faces of death collection,Faces of Death II,0.0
faces of death collection,Faces of Death,0.0
faces of death collection,Faces of Death III,0.0
faces of death collection,Faces of Death IV,0.0
faces of death collection,Faces of Death VI,0.0
faces of death collection,Faces of Death: Fact or Fiction?,0.0
gã¶ta kanal collection,Who Pulled the Plug?,0.0
the brd collection,Lola,0.0
my bloody valentine collection,My Bloody Valentine,0.0
piranha collection,Piranha Part Two: The Spawning,0.0
jackass collection,Jackass: The Movie,64282312.0
james bond collection,Casino Royale,41744718.0
the santa clause collection,The Santa Clause 2,172855065.0
half past dead collection,Half Past Dead,0.0
harry potter collection,Harry Potter and the Chamber of Secrets,876688482.0
left behind collection,Left Behind II: Tribulation Force,0.0
"pagnol, childhood's memories",My Father's Glory,0.0
"pagnol, childhood's memories",My Mother's Castle,0.0
the blue lagoon collection,Return to the Blue Lagoon,2807854.0
scanners collection,Scanners,14225876.0
rocky horror collection,Shock Treatment,0.0
james bond collection,Die Another Day,431971116.0
friday collection,Friday After Next,33526835.0
brother collection,Brother,0.0
elling collection,Elling,0.0
i spit on your grave (original) collection,I Spit on Your Grave,0.0
anglo-zulu war collection,Zulu,8000000.0
analyze collection,Analyze That,55003135.0
vabank (collection),Vabank,0.0
jã¶nsson gang,Varning fÃ¶r JÃ¶nssonligan,0.0
the party collection,The Party 2,0.0
class of 1999 collection,Class of 1984,0.0
turkish star wars,The Man Who Saves The World,0.0
star trek: the next generation collection,Star Trek: Nemesis,67312826.0
the lord of the rings collection,The Lord of the Rings: The Two Towers,926287400.0
my girl collection,My Girl 2,0.0
my girl collection,My Girl,0.0
road to collection,The Road to Hong Kong,0.0
heavy metal collection,Heavy Metal 2000,0.0
blue collar comedy tour collection,Blue Collar Comedy Tour: The Movie,604856.0
final destination collection,Final Destination 2,90426405.0
tokyo decadence series,Tokyo Decadence,0.0
le gendarme de st. tropez collection,The Gendarme and the Gendarmettes,0.0
jã¶nsson gang,JÃ¶nssonligan & DynamitHarry,0.0
the brd collection,Veronika Voss,0.0
they call me bruce collection,They Call Me Bruce?,16894678.0
the pink panther (original) collection,Trail of the Pink Panther,9056073.0
zapped collection,Zapped!,0.0
shanghai noon collection,Shanghai Knights,88323487.0
the jungle book collection,The Jungle Book 2,135680000.0
dennis the menace collection,Dennis the Menace,117270765.0
the black stallion collection,The Black Stallion Returns,9800000.0
the black stallion collection,The Black Stallion,37799643.0
willard,Willard,0.0
born free trilogy,Born Free,0.0
ringu collection,Ringu,8690429.0
ringu collection,Ringu 2,18686644.0
i am curious collection,I Am Curious (Yellow),0.0
the flicka collection,My Friend Flicka,0.0
demetrius filmreihe,The Robe,36000000.0
aki kaurismã¤ki's finland trilogy,The Man Without a Past,0.0
house of 1000 corpses collection,House of 1000 Corpses,16829545.0
x-men collection,X2,407711549.0
daddy day camp collection,Daddy Day Care,164433867.0
breakin' collection,Breakin' 2: Electric Boogaloo,0.0
breakin' collection,Breakin',0.0
nevada smith collection,The Carpetbaggers,0.0
the matrix collection,The Matrix Reloaded,738599701.0
the klapisch trilogy,The Spanish Apartment,3897799.0
pokã©mon collection,PokÃ©mon Heroes: Latios and Latias,20867919.0
almighty collection,Bruce Almighty,484572835.0
finding nemo collection,Finding Nemo,940335536.0
wrong turn collection,Wrong Turn,28650575.0
the fast and the furious collection,2 Fast 2 Furious,236350661.0
nevada smith collection,Nevada Smith,0.0
a man called horse collection,A Man Called Horse,0.0
dumb and dumber collection,Dumb and Dumberer: When Harry Met Lloyd,39267515.0
rugrats collection,Rugrats Go Wild,0.0
dracula (hammer series),The Satanic Rites of Dracula,544476.0
28 days/weeks later collection,28 Days Later,82719885.0
charlie's angels collection,Charlie's Angels: Full Throttle,259175788.0
legally blonde collection,"Legally Blonde 2: Red, White & Blonde",124914842.0
the terminator collection,Terminator 3: Rise of the Machines,435000000.0
pirates of the caribbean collection,Pirates of the Caribbean: The Curse of the Black Pearl,655011224.0
bad boys collection,Bad Boys II,273339556.0
johnny english collection,Johnny English,160583018.0
trilogie,On the Run,0.0
tomb raider collection,Lara Croft Tomb Raider: The Cradle of Life,156505388.0
spy kids collection,Spy Kids 3-D: Game Over,197011982.0
gator collection,Gator,0.0
kickboxer collection,Kickboxer 2:  The Road Back,1250712.0
gator collection,White Lightning,0.0
american pie collection,American Wedding,231449203.0
s.w.a.t. collection,S.W.A.T.,116643346.0
totã² collection,Hawks and Sparrows,0.0
friday the 13th collection,Freddy vs. Jason,114908830.0
agent cody banks collection,Agent Cody Banks,58795814.0
tremors collection,Tremors,48572000.0
the pink panther (original) collection,The Pink Panther,10878107.0
the pink panther (original) collection,The Pink Panther Strikes Again,33833201.0
elements trilogy,Earth,528972.0
elements trilogy,Fire,501533.0
jeepers creepers collection,Jeepers Creepers 2,63102666.0
sides of the bed,The Other Side of the Bed,0.0
the cabin fever collection,Cabin Fever,30553394.0
mexico trilogy,Once Upon a Time in Mexico,98185582.0
once upon a time in china collection,Once Upon a Time in China,3826459.0
once upon a time in china collection,Once Upon a Time in China II,30399676.0
once upon a time in china collection,Once Upon a Time in China III,27540561.0
living dead collection,Day of the Dead,34000000.0
underworld collection,Underworld,95708457.0
yossi collection,Yossi & Jagger,0.0
dorm daze collection,National Lampoon Presents Dorm Daze,0.0
leningrad cowboys collection,Leningrad Cowboys Go America,0.0
beethoven collection,Beethoven,147214049.0
beethoven collection,Beethoven's 2nd,118243066.0
ginger snaps collection,Ginger Snaps,0.0
american graffiti collection,More American Graffiti,15014674.0
house of the dead collection,House of the Dead,13818181.0
kill bill collection,Kill Bill: Vol. 1,180949000.0
texas chainsaw (reboot) collection,The Texas Chainsaw Massacre,107071655.0
scary movie collection,Scary Movie 3,220673217.0
brother bear collection,Brother Bear,0.0
the eye collection,The Eye,0.0
frankenstein (hammer series),Frankenstein and the Monster from Hell,0.0
the apu collection,Aparajito,170215.0
man of marble/iron collection,Man of Marble,0.0
sherlock holmes (1939 series),Sherlock Holmes and the Voice of Terror,0.0
sherlock holmes (1939 series),Sherlock Holmes Faces Death,0.0
sherlock holmes (1939 series),Sherlock Holmes in Washington,0.0
the matrix collection,The Matrix Revolutions,424988211.0
father of the bride collection,Father of the Bride,89325780.0
bad santa collection,Bad Santa,76488889.0
darkman collection,Darkman,48878502.0
europa trilogy,Europa,0.0
tales from the crypt collection,Tales from the Crypt,0.0
wargames collection,WarGames,79567667.0
highlander collection,Highlander II: The Quickening,15556340.0
kindergarten cop collection,Kindergarten Cop,201957688.0
battle royale collection,Battle Royale,25000000.0
teen wolf collection,Teen Wolf,0.0
the pink panther (original) collection,A Shot in the Dark,12368234.0
leprechaun collection (original series),Leprechaun,8556940.0
europa trilogy,The Element of Crime,0.0
the adventures of antoine doinel,Stolen Kisses,0.0
honey collection,Honey,62646763.0
the lord of the rings collection,The Lord of the Rings: The Return of the King,1118888979.0
cheaper by the dozen collection,Cheaper by the Dozen,190212113.0
re-animator collection,Beyond Re-Animator,0.0
pumping iron collection,Pumping Iron,0.0
the matt helm collection,The Silencers,16318124.0
the butterfly effect collection,The Butterfly Effect,96060858.0
you got served collection,You Got Served,0.0
barbershop collection,Barbershop 2:  Back in Business,65070412.0
trilogie,An Amazing Couple,0.0
the lost skeleton collection,The Lost Skeleton of Cadavra,0.0
blacula collection,Blacula,0.0
blacula collection,Scream Blacula Scream,0.0
trilogie,After Life,0.0
allan quatermain collection,King Solomon's Mines,238227.0
dirty dancing collection,Dirty Dancing: Havana Nights,27685016.0
agent cody banks collection,Agent Cody Banks 2: Destination London,28818995.0
scooby-doo collection,Scooby-Doo 2: Monsters Unleashed,181466833.0
usa: land of opportunities collection,Dogville,16680836.0
hellboy collection,Hellboy,99318987.0
the prince & me collection,The Prince & Me,0.0
walking tall collection,Walking Tall,57223890.0
the whole nine/ten yards collection,The Whole Ten Yards,26155781.0
living dead collection,Dawn of the Dead,55000000.0
road to collection,Road to Bali,0.0
kill bill collection,Kill Bill: Vol. 2,152159461.0
mean girls collection,Mean Girls,129042871.0
van helsing collection,Van Helsing,300257475.0
the kingdom,The Kingdom,0.0
100 girls collection,100 Girls,0.0
the up series,28 Up,0.0
james bond collection,You Only Live Twice,111584787.0
james bond collection,Octopussy,187500000.0
james bond collection,Never Say Never Again,160000000.0
babylon 5 collection,Babylon 5: In the Beginning,0.0
look who's talking collection,Look Who's Talking Too,0.0
the delta force collection,The Delta Force,17768900.0
cat people collection,Cat People,4000000.0
the musketeers collection,The Four Musketeers,0.0
bang rajan collection,Bang Rajan,0.0
sniper collection,Sniper,18994653.0
babylon 5 collection,Babylon 5: A Call to Arms,0.0
babylon 5 collection,Babylon 5: The River of Souls,0.0
babylon 5 collection,Babylon 5: Thirdspace,0.0
the thin man collection,Another Thin Man,0.0
the thin man collection,The Thin Man Goes Home,0.0
the thin man collection,Shadow of the Thin Man,0.0
the thin man collection,After the Thin Man,0.0
the thin man collection,Song of the Thin Man,0.0
lammbock collection,Lammbock,0.0
the legend collection,The Legend I,3956913.0
tremors collection,Tremors 2: Aftershocks,0.0
tremors collection,Tremors 3: Back to Perfection,0.0
vampire karnstein (hammer series),The Vampire Lovers,0.0
the cheerleaders - collection,The Cheerleaders,0.0
the streetfighter collection,The Streetfighter,0.0
the streetfighter collection,Return of the Street Fighter,0.0
frankenstein (hammer series),Frankenstein Must Be Destroyed,0.0
the gidget collection,Gidget,0.0
silence of god trilogy by ingmar bergman,The Silence,0.0
silence of god trilogy by ingmar bergman,Winter Light,0.0
silence of god trilogy by ingmar bergman,Through a Glass Darkly,0.0
the complete monterey pop festival,Monterey Pop,0.0
infernal affairs collection,Infernal Affairs,8708932.0
robot jox collection,Robot Jox,0.0
death race original collection,Death Race 2000,8000000.0
lew harper collection,Harper,12000000.0
in china they eat dogs collection,In China They Eat Dogs,0.0
the delta force collection,Delta Force 2: The Colombian Connection,6698361.0
per fly trilogien (samling),The Inheritance,0.0
dead or alive collection,Dead or Alive,0.0
alienation trilogy,L'Avventura,0.0
dr. mabuse collection,"The 1,000 Eyes of Dr. Mabuse",0.0
teenage apocalypse trilogy,Totally Fucked Up,0.0
lupin the third collection,Lupin the Third: The Castle of Cagliostro,0.0
the toxic avenger collection,Citizen Toxie: The Toxic Avenger IV,0.0
grey gardens collection,Grey Gardens,0.0
shrek collection,Shrek 2,919838758.0
harry potter collection,Harry Potter and the Prisoner of Azkaban,789804554.0
the chronicles of riddick collection,The Chronicles of Riddick,115772733.0
garfield collection,Garfield,200804534.0
police academy collection,Police Academy: Mission to Moscow,126247.0
sherlock holmes (1939 series),The Adventures of Sherlock Holmes,0.0
sherlock holmes (1939 series),The Hound of the Baskervilles,0.0
super size me collection,Super Size Me,28575078.0
billy jack collection,The Born Losers,36000000.0
the human condition,The Human Condition I: No Greater Love,0.0
godzilla (showa) collection,Godzilla vs. Mechagodzilla,0.0
the hitcher (1986) collection,The Hitcher,5844868.0
dexter riley collection,"Now You See Him, Now You Don't",0.0
the philadelphia experiment - collezione,The Philadelphia Experiment,0.0
the pink panther (original) collection,Revenge of the Pink Panther,49579269.0
taxi collection,Taxi,268254.0
taxi collection,Taxi 3,65497208.0
lassie (kinofilme),Lassie Come Home,0.0
spider-man collection,Spider-Man 2,783766341.0
before... collection,Before Sunset,15992615.0
anchorman collection,Anchorman: The Legend of Ron Burgundy,90574188.0
cinderella story collection,A Cinderella Story,70067909.0
trylogia sienkiewicza,The Deluge,0.0
the bourne collection,The Bourne Supremacy,288500217.0
the magnificent seven collection,Guns of the Magnificent Seven,0.0
the magnificent seven collection,The Magnificent Seven Ride!,0.0
sherlock holmes (1939 series),Terror by Night,0.0
sherlock holmes (1939 series),Sherlock Holmes and the Secret Weapon,0.0
sherlock holmes (1939 series),The Woman in Green,0.0
sherlock holmes (1939 series),Dressed to Kill,0.0
thunderbirds (animation) collection,Thunderbirds are GO,0.0
thunderbirds (animation) collection,Thunderbird 6,0.0
ptu collection,PTU,0.0
harold & kumar collection,Harold & Kumar Go to White Castle,23936908.0
the princess diaries collection,The Princess Diaries 2: Royal Engagement,95149435.0
avp collection,AVP: Alien vs. Predator,171183863.0
without a paddle collection,Without a Paddle,69631118.0
the exorcist collection,Exorcist: The Beginning,78000586.0
the sting collection,The Sting II,6347072.0
the benji collection,Benji: Off the Leash!,0.0
anaconda collection,Anacondas: The Hunt for the Blood Orchid,70992898.0
the mangler collection,The Mangler,0.0
night of the demons collection,Night of the Demons,3109904.0
witchboard collection,Witchboard,0.0
resident evil collection,Resident Evil: Apocalypse,129394835.0
nuke 'em high collection,Class of Nuke 'Em High 2: Subhumanoid Meltdown,0.0
basket case collection,Basket Case 3,0.0
basket case collection,Basket Case 2,0.0
europa trilogy,Epidemic,0.0
it's alive collection,It's Alive,0.0
the grudge collection,The Grudge,183474602.0
saw collection,Saw,103911669.0
the incredibles collection,The Incredibles,631442092.0
child's play collection,Seed of Chucky,24829644.0
bridget jones collection,Bridget Jones: The Edge of Reason,40203020.0
national treasure collection,National Treasure,347451894.0
spongebob collection,The SpongeBob SquarePants Movie,140161792.0
ocean's collection,Ocean's Twelve,362744280.0
blade collection,Blade: Trinity,128905366.0
that's entertainment collection,That's Entertainment!,0.0
that's entertainment collection,"That's Entertainment, Part II",0.0
that's entertainment collection,That's Entertainment! III,0.0
the invisible man (universal series),The Invisible Man Returns,0.0
i love a mystery movie series,The Unknown,0.0
king kong (1933 series),The Son of Kong,0.0
the wolf man (universal series),Werewolf of London,0.0
topper collection,Topper,0.0
why we fight,Why We Fight: Prelude to War,0.0
cat people collection,The Curse of the Cat People,0.0
ivan the terrible collection,"Ivan the Terrible, Part I",0.0
road to collection,Road to Rio,0.0
the orphic trilogy,Orpheus,0.0
allan quatermain (1950 series),King Solomon's Mines,0.0
the paleface collection,Son of Paleface,0.0
st. trinian's collection,The Belles of St. Trinian's,0.0
samurai collection,Samurai I: Musashi Miyamoto,0.0
samurai collection,Samurai II: Duel at Ichijoji Temple,0.0
samurai collection,Samurai III: Duel at Ganryu Island,0.0
the human condition,The Human Condition II: Road to Eternity,0.0
the human condition,The Human Condition III: A Soldier's Prayer,0.0
alienation trilogy,L'eclisse,0.0
dracula (hammer series),Dracula: Prince of Darkness,364937.0
asterix and obelix (animation) collection,Asterix the Gaul,0.0
asterix and obelix (animation) collection,Asterix and Cleopatra,0.0
dracula (hammer series),Dracula Has Risen from the Grave,0.0
dracula (hammer series),Taste the Blood of Dracula,0.0
gamera films,Gamera vs. Jiger,0.0
trinitã   collection,They Call Me Trinity,0.0
dracula (hammer series),Scars of Dracula,0.0
the emigrants collection,The Emigrants,0.0
dr. phibes collection,Dr. Phibes Rises Again,0.0
dracula (hammer series),Dracula A.D. 1972,0.0
the tall blond man collection,The Tall Blond Man with One Black Shoe,0.0
lone wolf and cub collection,Lone Wolf and Cub: Sword of Vengeance,0.0
lone wolf and cub collection,Lone Wolf and Cub: Baby Cart at the River Styx,0.0
nobody collection,My Name Is Nobody,0.0
walking tall original collection,Walking Tall,0.0
emmanuelle collection,Emmanuelle,0.0
gone in 60 seconds trilogy,Gone in 60 Seconds,0.0
mountain family robinson collection,The Adventures of the Wilderness Family,0.0
dolemite collection,Dolemite,0.0
asterix and obelix (animation) collection,The Twelve Tasks of Asterix,0.0
emmanuelle collection,Emmanuelle II,0.0
french connection collection,French Connection II,12484444.0
ð˜ñ€ð¾ð½ð¸ñ ññƒð´ñœð±ñ‹ (ðšð¾ð»ð»ðµðºñ†ð¸ñ),"The Irony of Fate, or Enjoy Your Bath!",0.0
the sister street fighter collection,Sister Street Fighter,0.0
vixens collection,Supervixens,0.0
trilogy of terror collection,Trilogy of Terror,0.0
westworld collection,Futureworld,0.0
vixens collection,Up!,0.0
the rutles collection,The Rutles: All You Need Is Cash,0.0
the lord of the rings animated collection,The Hobbit,0.0
french fried vacation,French Fried Vacation 2,0.0
barefoot gen collection,Barefoot Gen,0.0
star wars: the ewok adventures collection,The Ewok Adventure,0.0
"silent night, deadly night collection","Silent Night, Deadly Night",0.0
anne of green gables collection,Anne of Green Gables,0.0
asterix and obelix (animation) collection,Asterix vs. Caesar,0.0
barbarian queen collection,Barbarian Queen,0.0
demons collection,Demons,0.0
star wars: the ewok adventures collection,Ewoks: The Battle for Endor,0.0
mr. vampire collection,Mr. Vampire,0.0
police story collection,Police Story,0.0
asterix and obelix (animation) collection,Asterix in Britain,0.0
flodder collection,Flodder,0.0
a better tomorrow collection,A Better Tomorrow,4469460.0
the frogtown collection,Hell Comes to Frogtown,0.0
koker trilogy,Where Is My Friend's House?,0.0
a chinese ghost story collection,A Chinese Ghost Story,0.0
a better tomorrow collection,A Better Tomorrow II,0.0
patlabor collection,Patlabor: The Movie,0.0
the up series,35 Up,0.0
wong kar-wai's informal collection,Days of Being Wild,141864.0
begotten collection,Begotten,0.0
mannequin collection,Mannequin Two: On the Move,3752426.0
barbarian queen collection,Barbarian Queen II: The Empress Strikes Back,0.0
koker trilogy,Life and Nothing More...,0.0
house of angels collection,House of Angels,0.0
lonesome dove collection,Return to Lonesome Dove,0.0
american ninja collection,American Ninja 5,0.0
the bride with white hair collection,The Bride with White Hair,0.0
cyborg collection,Cyborg 2,0.0
the legend collection,The Legend II,2967668.0
fortress collection,Fortress,6739141.0
leningrad cowboys collection,Leningrad Cowboys Meet Moses,0.0
the philadelphia experiment - collezione,Philadelphia Experiment II,2970.0
barrytown trilogy,The Snapper,0.0
trilogã­a de la violencia de michael haneke,71 Fragments of a Chronology of Chance,0.0
naked collection,Naked Killer,0.0
darkman collection,Darkman II: The Return of Durant,0.0
major league collection,Major League II,30626182.0
pumpkinhead collection,Pumpkinhead II: Blood Wings,0.0
gonin collection,Gonin,0.0
street fighter collection,Street Fighter II: The Animated Movie,0.0
tales of the four seasons,A Summer's Tale,0.0
jack frost collection,Jack Frost,0.0
the hunters collection,The Hunters,0.0
aki kaurismã¤ki's finland trilogy,Drifting Clouds,0.0
pusher collection,Pusher,0.0
bikini summer collection,Bikini Summer III: South Beach Heat,0.0
the cremaster cycle,Cremaster 5,0.0
hamilton collection,Hamilton,0.0
the lion king collection,The Lion King 2: Simba's Pride,0.0
from dusk till dawn collection,From Dusk Till Dawn 3: The Hangman's Daughter,0.0
from dusk till dawn collection,From Dusk Till Dawn 2: Texas Blood Money,0.0
torrente collection,"Torrente, the Dumb Arm of the Law",0.0
the kingdom,The Kingdom II,0.0
unna trilogie,"Bang, Boom, Bang",0.0
batman (dc universe animated) collection,Batman & Mr. Freeze: SubZero,0.0
addams family collection,Addams Family Reunion,0.0
lady snowblood collection,Lady Snowblood,0.0
candyman collection,Candyman: Day of the Dead,0.0
superman (dc universe animated) collection,The Batman Superman Movie: World's Finest,0.0
evangelion collection,The End of Evangelion,20000000.0
freeway collection,Freeway II: Confessions of a Trickbaby,0.0
kirikou,Kirikou and the Sorceress,0.0
the prophecy collection,The Prophecy 3: The Ascent,0.0
taxi collection,Taxi 2,60726164.0
osobennosti natsionalnoy ... - collection,Peculiarities of the National Fishing,0.0
cruel intentions collection,Cruel Intentions 2,0.0
the big bottom box,Guest House Paradiso,0.0
if these walls could talk collection,If These Walls Could Talk 2,0.0
a goofy movie collection,An Extremely Goofy Movie,0.0
wong kar-wai's informal collection,2046,19271312.0
the cremaster cycle,Cremaster 2,0.0
running out of time collection,Running Out of Time,0.0
the wog boy collection,The Wog Boy,0.0
the female prisoner series,Female Prisoner #701: Scorpion,0.0
the female prisoner series,Female Prisoner Scorpion: Jailhouse 41,0.0
batman beyond collection,Batman Beyond: Return of the Joker,0.0
mimic collection,Mimic 2,0.0
paradise lost collection,Paradise Lost 2: Revelations,0.0
in china they eat dogs collection,Old Men in New Cars: In China They Eat Dogs II,0.0
asterix and obelix collection,Asterix & Obelix: Mission Cleopatra,111127553.0
godzilla (millennium) collection,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",0.0
american psycho collection,American Psycho 2: All American Girl,0.0
dead or alive collection,Dead or Alive 2: Birds,0.0
cube collection,CubeÂ²: Hypercube,0.0
my sassy girl collection,My Sassy Girl,0.0
annika bengtzon collection,Deadline,0.0
my wife is a gangster collection,My Wife Is a Gangster,0.0
dead or alive collection,Dead or Alive: Final,0.0
fubar collection,Fubar,0.0
the vengeance collection,Sympathy for Mr. Vengeance,1954937.0
the foreigner collection,The Foreigner,0.0
johan falk collection,The Third Wave,0.0
the lion king collection,The Lion King 1Â½,0.0
the cremaster cycle,Cremaster 3,0.0
herr lehmann filmreihe,Herr Lehmann,0.0
ju-on collection,Ju-on: The Curse,0.0
ju-on collection,Ju-on: The Curse 2,0.0
tremors collection,Tremors 4: The Legend Begins,0.0
bring it on collection,Bring It On Again,0.0
the crimson rivers collection,Crimson Rivers II: Angels of the Apocalypse,0.0
sniper collection,Sniper 2,0.0
battle royale collection,Battle Royale II: Requiem,0.0
naked collection,Naked Weapon,0.0
ghost in the shell collection,Ghost in the Shell 2: Innocence,9789651.0
samurai trilogy,The Twilight Samurai,7338987.0
the twins effect collection,The Twins Effect,0.0
ginger snaps collection,Ginger Snaps 2: Unleashed,0.0
dark woods collection,Dark Woods,0.0
ju-on collection,Ju-on: The Grudge,0.0
the vengeance collection,Oldboy,14980005.0
ginger snaps collection,Ginger Snaps Back: The Beginning,0.0
one missed call collection,One Missed Call,0.0
inuyasha collection,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,0.0
starship troopers collection,Starship Troopers 2: Hero of the Federation,0.0
ju-on collection,Ju-on: The Grudge 2,0.0
ong bak collection,Ong-Bak: The Thai Warrior,15.0
infernal affairs collection,Infernal Affairs II,0.0
saints and soldiers collection,Saints and Soldiers,0.0
open water collection,Open Water,54667954.0
infernal affairs collection,Infernal Affairs III,0.0
the ring collection,The Ring Two,161451538.0
the yes men collection,The Yes Men,0.0
bummer collection,Bummer,1600000.0
azumi collection,Azumi,0.0
cruel intentions collection,Cruel Intentions 3,0.0
what the bleep! collection,What the #$*! Do We (K)now!?,10000000.0
the eye collection,The Eye 2,0.0
hellraiser collection,Hellraiser: Inferno,0.0
meet the parents collection,Meet the Fockers,516642939.0
white noise collection,White Noise,91196419.0
godzilla (showa) collection,Son of Godzilla,0.0
the yakuza papers collection,"The Yakuza Papers, Vol. 1: Battles Without Honor and Humanity",0.0
brancaleone collection,For Love and Gold,1314230.0
appleseed collection,Appleseed,1461989.0
pippi longstocking,Pippi in the South Seas,0.0
pippi longstocking,Pippi on the Run,0.0
father flanagan collection,Boys Town,0.0
beastmaster collection,Beastmaster 2: Through the Portal of Time,869325.0
dr. who collection,Dr. Who and the Daleks,0.0
the are we collection,Are We There Yet?,97918663.0
alone in the dark collection,Alone in the Dark,10442808.0
the boogeyman collection,Boogeyman,67192859.0
the brd collection,The Marriage of Maria Braun,0.0
constantine collection,Constantine,230884728.0
the mask collection,Son of the Mask,0.0
world of watches collection,Night Watch,32000000.0
topper collection,Topper Returns,0.0
"no retreat, no surrender collection","No Retreat, No Surrender",4662137.0
the chubbchubbs collection,The ChubbChubbs!,0.0
the musketeers collection,The Three Musketeers,0.0
the adventures of antoine doinel,Bed and Board,0.0
war trilogy,Germany Year Zero,0.0
the blind dead collection,Tombs of the Blind Dead,0.0
chili palmer collection,Be Cool,95226116.0
godzilla (showa) collection,Godzilla vs. The Sea Monster,0.0
godzilla (heisei) collection,Godzilla vs. Mechagodzilla II,0.0
"oh, god! collection","Oh, God! You Devil",0.0
cube collection,Cube Zero,0.0
vares collection,Vares: Private Eye,0.0
miss congeniality collection,Miss Congeniality 2: Armed and Fabulous,0.0
zu warriors collection,Zu: Warriors from the Magic Mountain,0.0
godzilla (showa) collection,Invasion of Astro-Monster,0.0
sin city collection,Sin City,158733820.0
trilogy of life,Arabian Nights,0.0
ringu collection,Ringu 0,0.0
the love comes softly collection,Love Comes Softly,0.0
the amityville horror collection,The Amityville Horror,108047131.0
state property collection,State Property 2,1691706.0
xxx collection,xXx: State of the Union,71073932.0
zatã´ichi: the blind swordsman,ZatÃ´ichi Meets the One-Armed Swordsman,0.0
ukraine trilogy,Earth,0.0
vampire hunter d collection,Vampire Hunter D,0.0
star wars collection,Star Wars: Episode III - Revenge of the Sith,850000000.0
the invisible man (universal series),The Invisible Woman,0.0
madagascar collection,Madagascar,532680671.0
the exorcist collection,Dominion: Prequel to the Exorcist,251495.0
the sisterhood of the traveling pants collection,The Sisterhood of the Traveling Pants,39053061.0
godzilla (heisei) collection,Godzilla vs. Biollante,0.0
the dark knight collection,Batman Begins,374218673.0
godzilla (millennium) collection,Godzilla: Final Wars,0.0
herbie collection,Herbie Fully Loaded,66002004.0
living dead collection,Land of the Dead,46770602.0
the emigrants collection,The New Land,0.0
my friends collection,My Friends,0.0
godzilla (showa) collection,Godzilla vs. Hedorah,0.0
harry palmer collection,Billion Dollar Brain,0.0
fantastic four collection,Fantastic Four,330579719.0
the klapisch trilogy,Russian Dolls,23727301.0
house of 1000 corpses collection,The Devil's Rejects,0.0
whispering corridors collection,Whispering Corridors,0.0
the dukes of hazzard collection,The Dukes of Hazzard,110803676.0
deuce bigalow collection,Deuce Bigalow: European Gigolo,22400154.0
pusher collection,Pusher II: With Blood on My Hands,0.0
mr. wong collection,Doomed to Die,0.0
asterix and obelix collection,Asterix & Obelix Take on Caesar,1644060.0
the transporter collection,Transporter 2,85167639.0
enter the ninja collection,Revenge of the Ninja,13168027.0
police story collection,Police Story 2,0.0
police story collection,New Police Story,0.0
waiting collection,Waiting...,18637690.0
green street hooligans collection,Green Street Hooligans,3154346.0
final fantasy collection,Final Fantasy VII: Advent Children,0.0
into the blue collection,Into the Blue,44434439.0
wallace & gromit collection,The Curse of the Were-Rabbit,192452832.0
whispering corridors collection,Whispering Corridors 3: Wishing Stairs,0.0
goal! collection,Goal!: The Dream Begins,27610873.0
star wreck collection,Star Wreck: In the Pirkinning,0.0
left behind collection,Left Behind III: World at War,0.0
zorro collection,The Legend of Zorro,142400065.0
saw collection,Saw II,152925093.0
nobody collection,"A Genius, Two Friends, and an Idiot",0.0
american pie (spin-off) collection,American Pie Presents: Band Camp,0.0
tarzan (johnny weissmuller series),Tarzan the Ape Man,0.0
tarzan (johnny weissmuller series),Tarzan and His Mate,0.0
