,title,production_companies,revenue
1302,Albino Alligator,"['miramax films', 'albino alligator productions']",0.0
1303,The Mirror Has Two Faces,"['tristar pictures', 'phoenix pictures']",0.0
1304,Breaking the Waves,"['trust film', 'danish film institute']",3803298.0
1305,Nightwatch,['michael obel productions'],1179002.0
1306,Star Trek: First Contact,"['paramount pictures', 'digital image associates']",150000000.0
1307,Shine,"['fine line features', 'australian film finance corporation (affc)', 'film victoria', 'south australian feature film company']",0.0
1308,Sling Blade,['miramax films'],24444121.0
1309,Jingle All the Way,"['twentieth century fox film corporation', '1492 pictures']",129832389.0
1310,Identification of a Woman,,0.0
1311,Paradise Lost: The Child Murders at Robin Hood Hills,,0.0
1312,The Preacher's Wife,['touchstone pictures'],48093211.0
1313,Zero Kelvin,"['sandrews', 'norsk film']",0.0
1314,Ridicule,['epithã¨te films'],2503829.0
1315,The Crucible,['twentieth century fox film corporation'],0.0
1316,101 Dalmatians,"['walt disney pictures', 'great oaks entertainment']",320689294.0
1317,The Forbidden Christ,,0.0
1318,I Can't Sleep,"['pyramide productions', 'm6 films', 'arena films', 'vega film', 'agora films', 'france 3 cinema', 'orsans', 'les films de mindif']",0.0
1319,Die Hard 2,"['twentieth century fox film corporation', 'gordon company', 'silver pictures']",240031094.0
1320,Star Trek: The Motion Picture,['paramount pictures'],139000000.0
1321,Star Trek VI: The Undiscovered Country,['paramount pictures'],96900000.0
1322,Star Trek V: The Final Frontier,['paramount pictures'],70200000.0
1323,Star Trek II: The Wrath of Khan,['paramount pictures'],96800000.0
1324,Star Trek III: The Search for Spock,['paramount pictures'],87000000.0
1325,Star Trek IV: The Voyage Home,['paramount pictures'],133000000.0
1326,Batman Returns,"['polygram filmed entertainment', 'warner bros.']",280000000.0
1327,Young Guns,"['twentieth century fox film corporation', 'morgan creek productions']",44726644.0
1328,Young Guns II,['morgan creek productions'],0.0
1329,Grease,"['paramount pictures', 'robert stigwood organization (rso)']",181813770.0
1330,Grease 2,['paramount pictures'],15171476.0
1331,Marked for Death,"['twentieth century fox film corporation', 'steamroller productions', 'victor & grais productions']",46044400.0
1332,Adrenalin: Fear the Rush,['filmwerks'],0.0
1333,The Substance of Fire,['miramax'],0.0
1334,Under Siege,"['regency enterprises', 'alcor films', 'canal+', 'warner bros.']",156563139.0
1335,Terror in a Texas Town,['seltzer films'],0.0
1336,Jaws,"['universal pictures', 'zanuck/brown productions']",470654000.0
1337,Jaws 2,['universal pictures'],187884007.0
1338,Jaws 3-D,"['universal pictures', 'alan landsburg productions', 'mca  theatricals']",87987055.0
1339,My Fellow Americans,"['warner bros.', 'storyline entertainment', 'peters entertainment']",0.0
1340,Mars Attacks!,['tim burton productions'],101371017.0
1341,Citizen Ruth,"['miramax films', 'independent pictures (ii)']",153155.0
1342,Jerry Maguire,"['gracie films', 'tristar pictures']",273552592.0
1343,Raising Arizona,"['twentieth century fox film corporation', 'circle films']",29180280.0
1344,Tin Men,"['touchstone pictures', 'silver screen partners ii']",0.0
1345,Sneakers,['universal pictures'],105232691.0
1346,Bastard Out of Carolina,,0.0
1347,In Love and War,"['new line cinema', 'dimitri villard productions']",0.0
1348,Marvin's Room,"['miramax films', 'scott rudin productions', 'tribeca productions']",12803305.0
1349,Somebody Is Waiting,['redhead productions'],0.0
1350,Ghosts of Mississippi,"['columbia pictures', 'castle rock entertainment']",0.0
1351,Night Falls on Manhattan,"['paramount pictures', 'spelling films']",0.0
1352,Beavis and Butt-Head Do America,"['paramount pictures', 'geffen pictures', 'mtv films']",0.0
1353,La CÃ©rÃ©monie,"['prokino filmproduktion', 'zweites deutsches fernsehen (zdf)', 'olga film gmbh', 'mk2 productions']",0.0
1354,Scream,"['woods entertainment', 'dimension films']",173046663.0
1355,The Last of the Mohicans,['morgan creek productions'],75505856.0
1356,Michael,"['turner pictures', 'warner bros.', 'alphaville films']",119718203.0
1357,The Evening Star,"['paramount pictures', 'rysher entertainment']",0.0
1358,Hamlet,"['castle rock entertainment', 'turner pictures (i)']",0.0
1359,Some Mother's Son,"['castle rock entertainment', ""hell's kitchen films""]",0.0
1360,The Whole Wide World,,0.0
1361,Mother,"['paramount pictures', 'scott rudin productions']",0.0
1362,Thieves,"['les films alain sarde', 'canal+', 'd.a. films', 'centre national de la cinã©matographie (cnc)']",0.0
1363,Evita,"['hollywood pictures', 'cinergi pictures entertainment']",141047179.0
1364,The Portrait of a Lady,"['propaganda films', 'polygram filmed entertainment']",3692836.0
1365,Walkabout,"['si litvinoff film production', 'max l. raab productions']",0.0
1366,Message to Love: The Isle of Wight Festival,,0.0
1367,Murder at 1600,"['regency enterprises', 'kopelson entertainment', 'warner bros.', '1600 limited partnership']",25804707.0
1368,Hearts and Minds,,0.0
1369,Inside,"['elkins entertainment', 'film afrika worldwide', 'logo entertainment']",0.0
1370,Fierce Creatures,"['universal pictures', 'jersey films', 'fish productions']",9381260.0
1371,Zeus & Roxanne,['rysher entertainment'],0.0
1372,Turbulence,"['metro-goldwyn-mayer (mgm)', 'rysher entertainment']",11466088.0
1373,Angel Baby,"['astral films, australian film commission, the']",0.0
1374,First Strike,['golden harvest company'],21890845.0
1375,Underworld,,0.0
1376,Beverly Hills Ninja,"['tristar pictures', 'motion picture corporation of america']",0.0
1377,Metro,"['caravan pictures', 'touchstone pictures']",31987563.0
1378,The Machine,,0.0
1379,Falling in Love Again,['o.t.a. productions'],0.0
1380,The Cement Garden,"['zweites deutsches fernsehen (zdf)', 'neue constantin film', 'laurentic film productions', 'torii production']",322975.0
1381,Dante's Peak,"['universal pictures', 'pacific western']",178127760.0
1382,Meet Wally Sparks,,0.0
1383,Amos & Andrew,"['columbia pictures', 'new line cinema', 'castle rock entertainment']",0.0
1384,Benny & Joon,"['roth-arnold productions', 'metro-goldwyn-mayer (mgm)']",23202734.0
1385,Prefontaine,['hollywood pictures'],589304.0
1386,A Tickle in the Heart,,0.0
1387,Guantanamera,,0.0
1388,McHale's Navy,"['universal pictures', 'the bubble factory', 'sheinberg productions']",4529843.0
1389,Kolya,"['pandora cinema', 'portobello pictures', 'ceskã¡ televize', 'biograf jan svä›rã¡k', 'cinemart', ""fonds eurimages du conseil de l'europe"", 'centre national de la cinã©matographie (cnc)', 'space films', 'the czech republic state fund for support and development of cinematography']",5770254.0
1390,Gridlock'd,['polygram filmed entertainment'],0.0
1391,Fire on the Mountain,,0.0
1392,Waiting for Guffman,"['sony pictures classics', 'castle rock entertainment', 'pale morning dun', 'all night productions']",0.0
1393,Prisoner of the Mountains,,0.0
1394,The Beautician and the Beast,['paramount pictures'],0.0
1395,SubUrbia,"['castle rock entertainment', 'detour filmproduction']",656747.0
1396,Hotel de Love,"['village roadshow', 'pratt films']",0.0
1397,The Pest,"['tristar pictures', 'the bubble factory']",0.0
1398,Fools Rush In,['columbia pictures'],29481428.0
1399,Touch,['united artists'],0.0
1400,Absolute Power,"['columbia pictures', 'castle rock entertainment', 'malpaso productions']",50068310.0
1401,That Darn Cat,['walt disney pictures'],0.0
1402,Vegas Vacation,"['jerry weintraub productions', 'warner bros.']",36400360.0
1403,Unforgotten: Twenty-Five Years After Willowbrook,,0.0
1404,That Old Feeling,"['universal pictures', 'boy of the year', 'all girl productions', 'the bubble factory']",0.0
1405,Lost Highway,"['ciby 2000', 'october films', 'asymmetrical productions', 'lost highway productions']",3675201.0
1406,Rosewood,"['new deal productions', 'warner bros.', 'peters entertainment']",13130349.0
1407,Donnie Brasco,"['tristar pictures', 'mark johnson productions', 'phoenix pictures', 'baltimore pictures']",41954997.0
1408,Salut cousin !,,0.0
1409,Booty Call,['columbia pictures'],20060051.0
1410,Rhyme & Reason,,0.0
1411,Boys Life 2,['stand see'],532654.0
1412,City of Industry,"['orion pictures', 'largo entertainment']",0.0
1413,Best Men,"['orion pictures', 'the rank organisation', 'motion picture corporation of america (mpca)']",0.0
1414,Jungle 2 Jungle,['walt disney pictures'],0.0
1415,Kama Sutra - A Tale of Love,"['mirabai films', 'ndf international']",4109095.0
1416,Private Parts,"['paramount pictures', 'rysher entertainment']",41230799.0
1417,Love Jones,"['new line cinema', 'addis wechsler pictures']",0.0
1418,The Saint,"['paramount pictures', 'mace neufeld productions', 'rysher entertainment']",118063304.0
1419,Smilla's Sense of Snow,"['fox searchlight pictures', 'bavaria film']",0.0
1420,The Van,['fox searchlight pictures'],0.0
1421,Crash,"['fine line features', 'alliance communications']",0.0
1422,The Daytrippers,,0.0
1423,Liar Liar,"['imagine entertainment', 'universal pictures']",302710615.0
1424,The Quiet Room,,0.0
1425,Selena,"['q productions', 'esparza / katz productions']",60000000.0
1426,The Devil's Own,['columbia pictures'],140807547.0
1427,Cats Don't Dance,"['warner bros. pictures', 'david kirschner productions', 'turner feature animation']",3566637.0
1428,B.A.P.S.,"['new line cinema', 'island pictures']",7240837.0
1429,Love and Other Catastrophes,,0.0
1430,Turbo: A Power Rangers Movie,"['twentieth century fox film corporation', 'saban entertainment', 'toei company']",17979739.0
1431,Anna Karenina,"['icon entertainment international', 'warner bros.', 'studio trite']",791830.0
1432,Double Team,"['columbia pictures', 'mandalay entertainment']",0.0
1433,Inventing the Abbotts,['fox 2000 pictures'],5926128.0
1434,Anaconda,"['columbia pictures corporation', 'middle fork productions', 'iguana producciones', 'skylight cinema foto art', 'st. tropez films', 'cinema line film corporation']",136885767.0
1435,Grosse Pointe Blank,"['caravan pictures', 'hollywood pictures', 'roger birnbaum productions']",28084357.0
1436,Keys to Tulsa,,57252.0
1437,Kissed,"['british columbia film', 'canada council media arts', 'boneyard film company inc.']",0.0
1438,8 Heads in a Duffel Bag,"['orion pictures', 'brad krevoy & steve stabler production']",0.0
1439,Hollow Reed,,0.0
1440,Paradise Road,"['fox searchlight pictures', 'village roadshow pictures', 'samson productions']",0.0
1441,Traveller,"['mdp worldwide', 'banner entertainment']",0.0
1442,All Over Me,"['baldini pictures', 'slam pictures', 'medusa pictures']",0.0
1443,A Brother's Kiss,,0.0
1444,A Chef in Love,"['la sept cinã©ma', 'studio adam&eve', 'les films du rivage']",0.0
1445,Romy and Michele's High School Reunion,['touchstone pictures'],29235353.0
1446,Temptress Moon,,0.0
1447,Volcano,['twentieth century fox film corporation'],0.0
1448,Children of the Revolution,"['australian film finance corporation (affc)', 'australian asset securities limited', 'rev kids']",0.0
1449,Austin Powers: International Man of Mystery,"['new line cinema', 'capella international', ""eric's boy""]",67683989.0
1450,Breakdown,"['paramount pictures', 'dino de laurentiis company', 'spelling films']",50159144.0
1451,Broken English,"['new zealand film commission', 'new zealand on air', 'village roadshow pictures worldwide', 'communicado productions']",0.0
1452,Commandments,,0.0
1453,Ripe,"['c&p productions', 'virgin wood productions']",0.0
1454,"Truth or Consequences, N.M.","['triumph films', 'higgins-messick-wayne', 'ink slinger productions']",0.0
1455,The Turning,,0.0
1456,Warriors of Virtue,"['china film co-production corporation', 'metro-goldwyn-mayer (mgm)', 'law brothers entertainment', 'ijl creations']",0.0
1457,Fathers' Day,"['silver pictures', 'warner bros.', 'northern lights entertainment']",0.0
1458,The Fifth Element,"['columbia pictures', 'gaumont']",263920180.0
1459,Intimate Relations,,0.0
1460,Nowhere,"['desperate pictures', 'ugc images']",27354.0
1461,Losing Chase,"['hallmark entertainment', 'showtime networks']",0.0
1462,Sprung,,7553105.0
1463,The Promise,"['studio babelsberg', 'centre national de la cinã©matographie', 'odessa films', 'canal+', 'bioskop film', 'westdeutscher rundfunk (wdr)']",0.0
1464,Le Bonheur,['parc film'],0.0
1465,Love! Valour! Compassion!,['fine line features'],2900000.0
1466,Shall We Dance?,['altamira pictures inc.'],0.0
1467,The Second Jungle Book: Mowgli & Baloo,['tristar pictures'],479099.0
1468,Twin Town,"['figment films', 'aimimage productions', 'polygram filmed entertainment', 'agenda']",0.0
1469,Addicted to Love,"['warner bros.', 'outlaw productions (i)', 'miramax']",34673095.0
1470,Brassed Off,"['miramax films', 'channel four films', 'prominent features']",0.0
1471,The Designated Mourner,,0.0
1472,The Lost World: Jurassic Park,"['universal pictures', 'amblin entertainment']",229074524.0
1473,Ponette,['les films alain sarde'],0.0
1474,Schizopolis,['.406 production'],0.0
1475,Shiloh,"['bruin grip services', 'good dog productions llc', 'utopia pictures', 'zeta entertainment']",0.0
1476,The War at Home,['touchstone pictures'],0.0
1477,Rough Magic,"['goldwyn films', 'recorded picture company (rpc)']",0.0
1478,Trial and Error,['new line cinema'],0.0
1479,Buddy,"['columbia pictures', 'jim henson company, the', 'jim henson pictures']",0.0
1480,Con Air,"['jerry bruckheimer films', 'kouf/bigelow productions', 'touchstone pictures', 'hiett designs of las vegas', 'runway pictures inc']",224012234.0
1481,Late Bloomers,,0.0
1482,The Pillow Book,"['kasander & wigman productions', 'alpha films', 'nederlands fonds voor de film', 'woodline films ltd.']",0.0
1483,To Have (Or Not),,0.0
1484,Speed 2: Cruise Control,"['twentieth century fox film corporation', 'blue tulip productions']",164508066.0
1485,Squeeze,,10300.0
1486,Sudden Manhattan,['phaedra cinema'],0.0
1487,The Next Step,,0.0
1488,Wedding Bell Blues,"['curb entertainment', 'bergman lustig productions']",44000.0
1489,Batman & Robin,"['polygram filmed entertainment', 'warner bros.']",238207122.0
1490,Dream with the Fishes,,0.0
1491,Roseanna's Grave,"['fine line features', 'spelling films international', 'hungry eye trijbits', 'worrell', 'remote']",0.0
1492,Head Above Water,"['fine line features', 'tig productions', 'majestic films international']",0.0
1493,Hercules,['walt disney pictures'],252712101.0
1494,The Last Time I Committed Suicide,"['tapestry films', 'the kushner-locke company', 'bates entertainment']",0.0
1495,MURDER and murder,['murder and murder production'],0.0
1496,My Best Friend's Wedding,['tristar pictures'],299288605.0
1497,Tetsuo II: Body Hammer,,0.0
1498,When the Cat's Away,"['vertigo productions', 'canal+', 'france 2 cinã©ma']",0.0
1499,Contempt,"['rome paris films', 'les films concordia', 'compagnia cinematografica champion']",528428.0
1500,Face/Off,"['paramount pictures', 'permut presentations', 'wcg entertainment productions', 'douglas/reuther productions', 'touchstone pictures', 'krane entertainment']",245676146.0
1501,Fall,['terence michael productions'],0.0
1502,Gabbeh,"['mk2 productions', 'sanaye dasti']",0.0
1503,Mondo,['centre national de la cinã©matographie (cnc)'],0.0
1504,The Innocent Sleep,['timedial films'],0.0
1505,For Ever Mozart,['avventura films'],0.0
1506,Men in Black,"['amblin entertainment', 'columbia pictures corporation', 'parkes+macdonald image nation']",589390539.0
1507,Out to Sea,"['twentieth century fox film corporation', 'davis entertainment']",0.0
1508,Wild America,['morgan creek productions'],0.0
1509,A Simple Wish,"['universal pictures', 'the bubble factory']",8345056.0
1510,Contact,"['warner bros.', 'south side amusement company']",171120329.0
1511,Love Serenade,"['new south wales film & television office', 'australian film finance corporation (affc)', 'film victoria', 'jan chapman productions']",0.0
1512,G.I. Jane,"['caravan pictures', 'hollywood pictures', 'first independent films', 'largo entertainment', 'scott free productions', 'trap-two-zero productions']",48169156.0
1513,Conan the Barbarian,"['universal pictures', 'dino de laurentiis company']",79114085.0
1514,George of the Jungle,"['walt disney pictures', 'mandeville films']",0.0
1515,Cop Land,"['miramax films', 'across the river productions', 'woods entertainment']",44862187.0
1516,Event Horizon,"['paramount pictures', 'impact pictures', 'golar productions']",26673242.0
1517,Spawn,"['new line cinema', 'pull down your pants pictures', 'todd mcfarlane entertainment']",87840042.0
1518,Air Bud,['walt disney pictures'],23144499.0
1519,Picture Perfect,"['twentieth century fox film corporation', '3 arts entertainment']",44332015.0
1520,In the Company of Men,"['alliance atlantis communications', 'fair and square productions']",0.0
1521,Free Willy 3: The Rescue,"['regency enterprises', 'donner/shuler-donner productions', 'warner bros.']",0.0
1522,Career Girls,"['channel four films', 'thin man films', 'matrix films']",0.0
1523,Conspiracy Theory,"['silver pictures', 'warner bros.', 'donner/shuler-donner productions']",136982834.0
1524,Desperate Measures,"['tristar pictures', 'mandalay entertainment']",0.0
1525,Steel,"['quincy jones-david salzman entertainment', 'warner bros.', 'dc entertainment']",1686429.0
1526,She's So Lovely,['miramax films'],0.0
1527,Hoodlum,['united artists pictures'],0.0
1528,Leave it to Beaver,['universal pictures'],0.0
1529,Mimic,"['miramax films', 'dimension films']",25480490.0
1530,Money Talks,['new line cinema'],0.0
1531,Excess Baggage,['columbia pictures corporation'],0.0
1532,Kull the Conqueror,"['universal pictures', 'korsala productions', 'raffaella de laurentiis productions']",0.0
1533,Air Force One,"['columbia pictures corporation', 'beacon communications', 'radiant productions']",315156409.0
1534,One Eight Seven,['icon entertainment international'],5716080.0
1535,The Hunt for Red October,"['paramount pictures', 'nina saxon film design', 'mace neufeld productions']",199200000.0
1536,My Own Private Idaho,['fine line features'],0.0
1537,"Kiss Me, Guido","['capitol films', 'redeemable features']",0.0
1538,Star Maps,,0.0
1539,In & Out,"['paramount pictures', 'spelling films']",0.0
1540,The Edge,['art linson productions'],43312294.0
1541,The Peacemaker,['dreamworks skg'],0.0
1542,L.A. Confidential,"['regency enterprises', 'wolper organization', 'warner bros.']",126216940.0
1543,Seven Years in Tibet,"['tristar pictures', 'mandalay entertainment', 'applecross', 'reperage & vanguard films']",131457682.0
1544,Kiss the Girls,"['paramount pictures', 'rysher entertainment']",60527873.0
1545,Soul Food,"['fox 2000 pictures', 'edmonds entertainment group (eeg)']",0.0
1546,Kicked in the Head,['de fina-cappa'],0.0
1547,Wishmaster,"['live entertainment', 'image organization', 'pierre david']",15719109.0
1548,A Thousand Acres,"['propaganda films', 'beacon communications', 'polygram filmed entertainment', 'touchstone pictures', 'via rosa productions', 'prairie films']",0.0
1549,The Game,"['polygram filmed entertainment', 'a&b producoes', 'popaganda films']",109423648.0
1550,Fire Down Below,"['warner bros.', 'seagal/nasso productions']",16000000.0
1551,U Turn,"['illusion entertainment group', 'phoenix pictures', 'clyde is hungry films', 'canal+ droits audiovisuels']",6682098.0
1552,The Locusts,,10082.0
1553,The Matchmaker,['good film company'],0.0
1554,The Assignment,"['the movie network (tmn)', 'allegro films', 'canadian film or video production tax credit (cptc)', 'super ã‰cran', 'gouvernement du quã©bec', 'triumph films', 'satch-mo', 'program de credits of impuc']",0.0
1555,A Smile Like Yours,"['paramount pictures', 'rysher entertainment']",0.0
1556,Ulee's Gold,"['clinica estetico', 'nunez-gowan']",0.0
1557,The Ice Storm,"['fox searchlight pictures', 'good machine', 'canal+ droits audiovisuels']",8038061.0
1558,Stag,"['lions gate films', 'rampage entertainment']",0.0
1559,Chasing Amy,"['miramax films', 'view askew productions']",12021272.0
1560,Def Jam's How to Be a Player,"['island pictures', 'def pictures']",13960203.0
1561,The Full Monty,"['channel four films', 'twentieth century fox film corporation', 'redwave films']",257850122.0
1562,Alive and Kicking,"['greentrees films', 'channel 4 television']",0.0
1563,Mrs Brown,"['miramax films', 'wgbh', 'bbc scotland', 'mobile masterpiece theatre']",0.0
1564,I Know What You Did Last Summer,"['columbia pictures corporation', 'mandalay entertainment', 'summer knowledge llc']",125586134.0
1565,The Devil's Advocate,"['regency enterprises', 'monarchy enterprises b.v.', 'kopelson entertainment', 'warner bros.', 'new regency pictures', 'taurus film']",152944660.0
1566,RocketMan,"['walt disney pictures', 'caravan pictures']",0.0
1567,Playing God,['touchstone pictures'],4000000.0
1568,The House of Yes,['miramax films'],626057.0
1569,"Fast, Cheap & Out of Control",,832735.0
1570,Washington Square,"['caravan pictures', 'hollywood pictures', 'roger birnbaum productions', 'alchemy filmworks']",1.0
1571,Telling Lies In America,"['kuzui enterprises', 'banner entertainment', 'ben myron productions']",0.0
1572,Year of the Horse,,0.0
1573,Gattaca,"['columbia pictures', 'jersey films']",12532777.0
1574,FairyTale: A True Story,['icon productions'],14000000.0
1575,Phantoms,"['miramax films', 'dimension films']",5624282.0
1576,Swept from the Sea,['tapson steel films productions'],0.0
1577,Wonderland,,0.0
1578,A Life Less Ordinary,"['channel four films', 'figment films', 'polygram filmed entertainment', 'aaargh! animation']",0.0
1579,Hurricane Streets,"['united artists', 'posthorn pictures', ""giv'en films""]",0.0
1580,Eve's Bayou,,0.0
1581,Switchback,"['paramount pictures', 'pacific western', 'rysher entertainment']",6482195.0
1582,Gang Related,"['orion pictures', 'kouf/bigelow productions']",5790448.0
1583,Stripes,['columbia pictures industries'],85300000.0
1584,Nenette and Boni,,0.0
1585,Bean,"['tiger aspect productions', 'polygram filmed entertainment', 'working title films']",251212670.0
1586,Hugo Pool,"['nomadic pictures', 'bmg independents']",0.0
1587,Mad City,"['warner bros.', 'arnold kopelson productions']",10541523.0
1588,One Night Stand,['new line cinema'],2642983.0
1589,The Tango Lesson,"['arts council of england', 'adventure pictures', 'adventure films']",0.0
1590,Welcome to Sarajevo,"['miramax films', 'channel four films', 'dragon pictures']",0.0
1591,Deceiver,"['metro-goldwyn-mayer (mgm)', 'mdp worldwide']",0.0
1592,The Rainmaker,"['paramount pictures', 'constellation entertainment']",45916769.0
1593,Boogie Nights,"['new line cinema', 'ghoulardi film company', 'lawrence gordon productions']",43101594.0
1594,Witness,['paramount pictures'],68706993.0
1595,Incognito,"['warner bros.', 'morgan creek productions']",0.0
1596,Starship Troopers,"['tristar pictures', 'touchstone pictures', 'big bug pictures']",121214377.0
1597,Critical Care,"['live entertainment', 'mediaworks', 'asqa film partnership']",0.0
1598,The Joy Luck Club,['hollywood pictures'],32861136.0
1599,Chairman of the Board,['101st street films'],0.0
1600,Sliding Doors,"['paramount pictures', 'miramax films', 'intermedia films', 'mirage enterprises']",58000000.0
1601,Mortal Kombat: Annihilation,"['new line cinema', 'threshold entertainment']",51376861.0
1602,The Truman Show,"['paramount pictures', 'scott rudin productions']",264118201.0
1603,The Wings of the Dove,['miramax films'],0.0
1604,Mrs. Dalloway,"['bergen film', 'first look international']",3309421.0
1605,"I Love You, I Love You Not",,0.0
1606,Red Corner,"['metro-goldwyn-mayer (mgm)', 'avnet/kerner productions']",0.0
1607,The Jackal,"['universal pictures', 'toho-towa', 'mutual film company', 'marubeni', 'tele mã¼nchen fernseh produktionsgesellschaft (tmg)', 'alphaville films', 'british broadcasting corporation (bbc)', 'ugc ph', ""mel's cite du cinema""]",159330280.0
1608,Anastasia,"['twentieth century fox film corporation', 'fox animation studios', 'fox family films', 'the big gun project', 'little wolf entertainment']",139804348.0
1609,The Man Who Knew Too Little,"['regency enterprises', 'taurus films', 'polar productions', 'warner bros.']",13801755.0
1610,Alien: Resurrection,"['twentieth century fox film corporation', 'brandywine productions']",162000000.0
1611,Alien Escape,,0.0
1612,Amistad,['dreamworks skg'],74000000.0
1613,The Apostle,"[""butcher's run productions""]",0.0
1614,Artemisia,['france 3 cinema'],0.0
1615,Bent,"['channel four films', 'ask kodansha', 'ndf inc.']",0.0
1616,Bang,"['asylum films', 'fm entertainment', 'eagle eye films inc.']",0.0
1617,The Boys,"['telefilm canada', 'melenny productions', 'super ã‰cran', 'gouvernement canadien', ""fonds de tã©lã©vision et de cã¢blodistribution pour la production d'ã©missions canadiennes"", 'gouvernement du quã©bec']",0.0
1618,The Butcher Boy,"['geffen pictures', 'warner bros.']",0.0
1619,Deconstructing Harry,['fine line features'],10686841.0
1620,Flubber,"['walt disney pictures', 'great oaks entertainment']",177977226.0
1621,For Richer or Poorer,"['universal pictures', 'yorktown productions', 'the bubble factory', 'sheinberg productions']",31611225.0
1622,Good Will Hunting,"['miramax films', 'lawrence bender productions', 'be gentlemen limited partnership']",225933435.0
1623,Guy,,0.0
1624,Tar,,0.0
1625,Home Alone 3,"['twentieth century fox film corporation', 'hughes entertainment']",79082515.0
1626,Ill Gotten Gains,,0.0
1627,Man of Her Dreams,"['the image organization', 'm.o.d. productions inc.']",0.0
1628,Midnight in the Garden of Good and Evil,"['warner bros.', 'malpaso company']",25105255.0
1629,MouseHunt,['dreamworks'],122417389.0
1630,Never Met Picasso,,0.0
1631,Office Killer,,0.0
1632,Other Voices Other Rooms,,0.0
1633,Scream 2,"['miramax films', 'konrad pictures', 'maven entertainment', 'dimension films']",172363301.0
1634,Stranger in the House,"['allegro films', 'the image organization']",0.0
1635,The Sweet Hereafter,"['fine line features', 'alliance communications']",3263585.0
1636,Time Tracers,['chase regency'],0.0
1637,Titanic,"['paramount pictures', 'twentieth century fox film corporation', 'lightstorm entertainment']",1845034188.0
1638,Tomorrow Never Dies,['eon productions'],333011068.0
1639,Twisted,"['miravista films', 'don quixote']",0.0
1640,Full Speed,,0.0
1641,The Education of Little Tree,"['allied films', 'lightmotive']",0.0
1642,The Postman,"['tig productions', 'warner bros.']",17626234.0
1643,The Horse Whisperer,"['wildwood enterprises', 'touchstone pictures']",186883563.0
1644,The Winter Guest,,0.0
1645,Jackie Brown,['miramax films'],39673162.0
1646,Kundun,['touchstone pictures'],5684789.0
1647,Mr. Magoo,['walt disney pictures'],0.0
1648,The Big Lebowski,"['gramercy pictures', 'polygram filmed entertainment', 'working title films']",46189568.0
1649,Afterglow,['sony pictures classics'],2465960.0
1650,My Life in Pink,"['centre national de la cinã©matographie', 'canal+']",0.0
1651,Great Expectations,"['twentieth century fox film corporation', 'art linson productions']",55494066.0
1652,3 Ninjas: High Noon at Mega Mountain,"['tristar pictures', 'leeds/ben-ami productions', 'sheen productions']",0.0
1653,Men of Means,"['saban entertainment', 'producers network associates']",0.0
1654,Caught Up,"['live entertainment', 'heller highwater productions']",0.0
1655,Arguing the World,,0.0
1656,Firestorm,['twentieth century fox film corporation'],0.0
1657,Senseless,['dimension films'],13035599.0
1658,Wag the Dog,"['new line cinema', 'tribeca productions', 'baltimore pictures']",64256513.0
1659,Dark City,"['new line cinema', 'mystery clock cinema']",27200316.0
1660,The Leading Man,"['j&m entertainment', 'bmg independents']",0.0
1661,Star Kid,"['trimark pictures', 'manny coto productions']",7.0
1662,Hard Rain,"['paramount pictures', 'toho-towa', 'mutual film company', 'polygram filmed entertainment', 'marubeni', 'tele mã¼nchen fernseh produktionsgesellschaft (tmg)', 'ugc ph', 'british broadcasting corporation (bbc) television', 'stargate studios']",19870567.0
1663,Half Baked,['universal pictures'],17460020.0
1664,Fallen,"['atlas entertainment', 'turner pictures (i)']",25232289.0
1665,Shooting Fish,"['arts council of england', 'national lottery', 'gruber bros.', 'tomboy films', 'winchester multimedia plc']",302204.0
1666,The Prophecy II,,0.0
1667,Fallen Angels,"['jet tone production', 'chan ye-cheng']",0.0
1668,Four Days in September,"['miramax films', 'columbia tristar']",310724.0
1669,Spice World,['columbia pictures corporation'],100000000.0
1670,Deep Rising,"['hollywood pictures', 'cinergi pictures entertainment', 'calimari productions']",11203026.0
1671,Tainted,,0.0
1672,A Letter from Death Row,,0.0
1673,Music from Another Room,,0.0
1674,Mother and Son,"['zero film gmbh', 'lenfilm studio', 'severny fond']",0.0
1675,The Replacement Killers,['columbia pictures corporation'],19204929.0
1676,B. Monkey,"['miramax films', 'synchronistic pictures', 'scala productions']",0.0
1677,The Night Flier,"['new amsterdam entertainment', 'medusa film', 'stardust international']",91549.0
1678,Blues Brothers 2000,['universal pictures'],14051384.0
1679,Tokyo Fist,,0.0
1680,Ride,['dimension films'],0.0
1681,The Wedding Singer,"['new line cinema', 'robert simonds productions', 'juno pix']",123306987.0
1682,Sphere,"['punch productions', 'warner bros.', 'baltimore pictures', 'constant c productions']",13100000.0
1683,Ayn Rand: A Sense of Life,,0.0
1684,A Further Gesture,"['channel four films', 'road movies dritte produktionen', 'samson films', 'zephyr films', 'neue deutsche filmgesellschaft (ndf)', 'pony canyon']",0.0
1685,Little City,['bandeira entertainment'],0.0
1686,Palmetto,"['castle rock entertainment', 'columbia pictures corporation', 'rialto films', 'code entertainment']",0.0
1687,As Good as It Gets,"['gracie films', 'tristar pictures']",314178011.0
1688,King of New York,"['the rank organisation', 'reteitalia', 'seven arts pictures', 'carolco pictures']",2554476.0
1689,A Paralyzing Fear: The Story of Polio in America,,0.0
1690,Men with Guns,,0.0
